Mixing red and blue will create the color;purple
Mixing blue and yellow will create the color;green
Mixing white and red will create the color;pink
Mixing red and yellow will create the color;orange
To make a blue color darker, you need to add the color;black
To get teal or aqua, mix green and;blue
Purple and green both have in them the color;blue
The complementary color of red is;green
Yellow is to purple what blue is to;
The color of the lemon was a vibrant;yellow
The grass was wellkept and well watered, so its color was very;vibrant
The color of the sky was;blue
The strawberries looked perfectly ripe with their deep shade of;red
She was so angry, she saw the color;red
It had been a rough couple of days, so Timothy felt like the color;blue
John was having a such a bad day, his mood seemed to be colored;by
She didn’t see it coming, as the incident happened out of the color;of
As the legislation had yet to be implemented, the color of the area was still very;vibrant
The color of the skilled gardener’s thumbs was;green
The lie was so innocent, it had the color;of
She was so angry, she saw;red
It had been a rough couple of days so Timothy was feeling;down
John was having a such a bad day, his mood was very;low
She didn’t see it coming, as the incident happened out of the;blue
As the legislation had yet to be implemented, the area was still;largely
The skilled gardener’s thumbs were;green
A lie which will not hurt anyone is;""""
